Form Name,URL,Opened Status,Submission Status
apply-form,https://vaultlister.com/platforms.html,Success,Success
apply-form,https://vaultlister.com/affiliate.html,Success,Success
apply-form,https://vaultlister.com/learning.html,Success,Success
apply-form,https://vaultlister.com/documentation.html,Success,Success
apply-form,https://vaultlister.com/request-feature.html,Success,Success
contact-form,https://vaultlister.com/help.html,Success,Success
contact-form,https://vaultlister.com/faq.html,Success,Success
contact-form,https://vaultlister.com/documentation.html,Success,Success
contact-form,https://vaultlister.com/documentation.html#ai-info,Success,Success
contact-form,https://vaultlister.com/documentation.html#media-kit,Success,Success
contact-form,https://vaultlister.com/contact.html,Success,Success
fr-form,https://vaultlister.com/request-feature.html,Success,Failed
register-form,https://vaultlister.com/platforms.html,Success,Failed
register-form,https://vaultlister.com/affiliate.html,Success,Failed
register-form,https://vaultlister.com/help.html,Success,Failed
register-form,https://vaultlister.com/pricing.html,Success,Failed
register-form,https://vaultlister.com/faq.html,Success,Failed
register-form,https://vaultlister.com/request-feature.html,Success,Failed
register-form,https://vaultlister.com/contact.html,Success,Failed
register-form,https://vaultlister.com/?app=1#register,Success,Failed
subscribe-form,https://vaultlister.com/platforms.html,Success,Success
subscribe-form,https://vaultlister.com/affiliate.html,Success,Success
subscribe-form,https://vaultlister.com/help.html,Success,Success
subscribe-form,https://vaultlister.com/learning.html,Success,Success
subscribe-form,https://vaultlister.com/faq.html,Success,Success
subscribe-form,https://vaultlister.com/documentation.html,Success,Success
subscribe-form,https://vaultlister.com/request-feature.html,Success,Success
subscribe-form,https://vaultlister.com/contact.html,Success,Success
